gap_duration,contrast,n_flashes,response,rt,subject
0,1,1,0,0.6953125,1
0,1,1,0,0.619140625,1
42,0.5,2,1,0.611328125,1
0,1,1,0,0.654296875,1
0,1,1,0,0.611328125,1
0,0.5,1,0,0.482421875,1
0,0.5,1,0,0.4296875,1
21,1,2,1,0.6875,1
0,1,1,0,0.4765625,1
21,1,2,1,0.439453125,1
7,0.5,2,0,0.70703125,1
28,0.5,2,1,0.728515625,1
7,0.5,2,0,0.8046875,1
0,0.5,1,0,0.833984375,1
35,1,2,1,0.939453125,1
14,1,2,1,0.8984375,1
28,1,2,1,0.6171875,1
42,1,2,1,0.4609375,1
0,1,1,0,1.416015625,1
0,1,1,0,0.888671875,1
0,0.5,1,0,0.654296875,1
0,0.5,1,0,0.482421875,1
56,0.5,2,1,1.53515625,1
0,0.5,1,0,0.498046875,1
0,1,1,0,0.58203125,1
42,1,2,1,0.76171875,1
0,1,1,0,0.642578125,1
0,1,1,0,0.6640625,1
35,0.5,2,1,0.51953125,1
35,0.5,2,1,0.603515625,1
0,0.5,1,0,0.81640625,1
0,1,1,0,0.67578125,1
0,0.5,1,0,0.638671875,1
14,0.5,2,1,1.056640625,1
0,1,1,0,0.7421875,1
0,1,1,0,0.58203125,1
0,1,1,0,0.490234375,1
49,0.5,2,1,0.8828125,1
21,0.5,2,1,0.451171875,1
0,1,1,0,1.013671875,2
14,0.5,2,0,1.013671875,2
56,1,2,1,0.640625,2
21,0.5,2,0,0.91015625,2
0,1,1,0,0.841796875,2
0,0.5,1,0,0.6484375,2
0,1,1,0,0.54296875,2
0,0.5,1,0,0.53125,2
0,1,1,0,0.599609375,2
28,1,2,1,0.44921875,2
0,0.5,1,0,0.548828125,2
0,1,1,0,0.5390625,2
7,1,2,1,0.412109375,2
7,0.5,2,0,0.51171875,2
0,0.5,1,0,0.576171875,2
28,1,2,1,0.712890625,2
0,0.5,1,0,0.451171875,2
14,0.5,2,0,0.595703125,2
0,1,1,0,0.4375,2
0,1,1,0,0.46875,2
56,0.5,2,1,0.46484375,2
49,1,2,1,0.61328125,2
42,0.5,2,1,0.4375,2
56,0.5,2,1,0.515625,2
0,0.5,1,0,0.556640625,2
0,0.5,1,0,0.544921875,2
7,0.5,2,0,0.521484375,2
35,1,2,1,0.43359375,2
35,1,2,1,0.580078125,2
28,1,2,1,0.421875,2
0,1,1,0,0.544921875,2
0,0.5,1,0,0.54296875,2
42,0.5,2,1,0.49609375,2
14,1,2,1,0.583984375,2
35,1,2,1,0.470703125,2
21,1,2,1,0.541015625,2
0,0.5,1,0,0.478515625,2
7,0.5,2,1,0.431640625,2
14,0.5,2,1,0.66015625,2
35,0.5,2,1,0.419921875,2
0,0.5,1,0,0.560546875,2
49,0.5,2,1,0.376953125,2
42,0.5,2,1,0.443359375,2
49,1,2,1,0.408203125,2
